Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Tilt_rel,Tilt_abs,HH_21n,AH_21n,HH_21s,AH_21s,HH_22n,AH_22n,HH_22s,AH_22s,Cycle21n,Cycle21s,Cycle22n,Cycle22s,Hale,AntiHale,Date,Instrument,HH_23n,AH_23n,HH_23s,AH_23s,Cycle23n,Cycle23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s
1976,1,13,17,26,59.0,1,6.69e+21,1.59e+19,-9.9094,-72.97,1.4369999999999998,-1.46e+22,5.14e+19,-10.009,-78.61,2.9176,5.5538,1,722000.0,1976.0,82.03657720797474,-9.9592,-75.78999999999999,3.365e+19,2.129e+22,1.0271892337949102,1.0271892337949102,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-01-13 17:26:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,2,15,18,19,8.0,3,2.37e+21,1.17e+19,-11.108,-67.942,1.2307,-1.39e+21,7.74e+18,-12.191,-71.381,1.0987,3.5384,1,722000.0,1976.1,44.09081537009721,-11.6495,-69.66149999999999,9.72e+18,3.76e+21,17.824700528362992,17.824700528362992,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-02-15 18:19:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,2,20,18,43,18.0,4,2.49e+21,1.44e+19,-2.6919,172.72,1.561,-2.39e+21,1.37e+19,-3.9302,168.79,1.4278,4.1196,1,722000.0,1976.1,53.009433122794285,-3.31105,170.755,1.405e+19,4.88e+21,17.516525604113202,17.516525604113202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-02-20 18:43:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,3,13,21,24,36.0,8,3.08e+21,1.27e+19,-33.71,-71.723,1.2219,-2.8e+21,1.52e+19,-31.888,-67.439,1.3319,4.0349,-1,722000.0,1976.2,52.820450584977024,-32.799,-69.58099999999999,1.395e+19,5.88e+21,26.83788916999566,-153.16211083000437,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1976-03-13 21:24:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,8,12,21,14,0.0,13,1.79e+21,9.4e+18,23.786,76.128,1.5166,-1.34e+21,7.16e+18,25.395,71.763,0.96402,4.2821,1,722000.0,1976.6,40.69397989875161,24.5905,73.94550000000001,8.28e+18,3.13e+21,-22.0666421366944,-22.0666421366944,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1976-08-12 21:14:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,8,19,15,45,56.0,15,4.23e+21,1.7e+19,-1.6758,22.499,1.5822,-5.47e+21,2.38e+19,-1.6337,18.791,1.7649,3.7068,1,722000.0,1976.6,63.874877690685246,-1.65475,20.645000000000003,2.04e+19,9.7e+21,-0.6507699264047597,-0.6507699264047597,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-08-19 15:45:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,8,19,15,45,56.0,16,5.16e+21,1.81e+19,-10.187,-96.976,1.5002,-2.98e+21,1.01e+19,-12.004,-97.486,1.2939,1.8846,1,722000.0,1976.6,53.10367218940701,-11.0955,-97.231,1.41e+19,8.14e+21,74.60053387488148,74.60053387488148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-08-19 15:45:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,8,21,17,32,1.0,17,3.76e+21,2.11e+19,-9.7209,-97.051,1.928,-4.99e+21,3.74e+19,-9.6338,-111.64,2.5242,14.382,1,722000.0,1976.6,76.48529270389177,-9.67735,-104.3455,2.925e+19,8.75e+21,-0.347003900575799,-0.347003900575799,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-08-21 17:32:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,9,14,23,35,59.0,19,3.36e+21,2.12e+19,-22.755,23.816,1.634,-2.81e+21,2.03e+19,-20.604,29.137,1.6391,5.3919,-1,722000.0,1976.7,64.42049363362564,-21.6795,26.4765,2.075e+19,6.17e+21,23.50992844649425,-156.49007155350577,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1976-09-14 23:35:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1976,9,17,18,39,3.0,20,3.68e+21,2.48e+19,-11.244000000000002,-92.642,2.4083,-3.51e+21,2.04e+19,-13.135,-98.306,1.5251,5.8506,1,722000.0,1976.7,67.23094525588644,-12.1895,-95.474,2.26e+19,7.19e+21,18.8583036323743,18.8583036323743,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1976-09-17 18:39:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
