ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_22n,AH_22n,HH_22s,AH_22s,HH_23n,AH_23n,HH_23s,AH_23s,Cycle22n,Cycle22s,Cycle23n,Cycle23s,Hale,AntiHale
841,1992,4,21,17,0,37,1,1.05e+22,5.28e+19,-6.4428,-12.673,2.8875,-1e+22,5.36e+19,-11.902,-19.034,2.8792,8.3188,1,728000.0,1992.3,103.15037566582102,-9.1724,-15.8535,5.32e+19,2.05e+22,True,41.001934625305104,41.001934625305104,False,False,True,False,False,False,False,False,False,True,False,False,True,False
842,1992,4,22,17,29,34,2,3.36e+21,1.45e+19,-10.043,-25.495,1.4303,-3.8e+21,1.03e+19,-10.759,-28.718000000000004,1.132,3.2501,1,728000.0,1992.3,49.79959839195493,-10.401,-27.106500000000004,1.24e+19,7.16e+21,True,12.727526121290628,12.727526121290628,False,False,True,False,False,False,False,False,False,True,False,False,True,False
842,1992,4,22,17,29,34,3,1.06e+22,4.1e+19,-17.646,-8.8024,3.0341,-9.32e+21,3.42e+19,-20.666,-14.291,2.0,5.999,1,728000.0,1992.3,86.7179335547152,-19.156,-11.5467,3.76e+19,1.992e+22,True,30.220129841849907,30.220129841849907,False,False,True,False,False,False,False,False,False,True,False,False,True,False
841,1992,4,21,17,0,37,4,1.97e+22,7.38e+19,-25.655,49.24100000000001,3.1268,-1.86e+22,8.09e+19,-27.517,38.099,3.4123,10.133,1,728000.0,1992.3,124.37845472588891,-26.586,43.67,7.735e+19,3.83e+22,True,10.58505183259659,10.58505183259659,False,False,True,False,False,False,False,False,False,True,False,False,True,False
846,1992,4,26,14,24,47,5,2.32e+22,6.27e+19,-15.646,10.394,2.9096,-1.48e+22,5.2e+19,-18.779,0.74821,2.9164,9.7295,1,728000.0,1992.3,107.09808588392232,-17.2125,5.571105,5.735e+19,3.8e+22,True,18.77976525022581,18.77976525022581,False,False,True,False,False,False,False,False,False,True,False,False,True,False
841,1992,4,21,17,0,37,7,2e+22,9.25e+19,8.1124,-26.936,4.1824,-2.47e+22,8.62e+19,10.385,-15.925999999999998,3.406,11.1,-1,728000.0,1992.3,133.67871932360814,9.2487,-21.431,8.935e+19,4.47e+22,True,11.812086686777818,-168.18791331322217,True,False,False,False,False,False,False,False,True,False,False,False,True,False
842,1992,4,22,17,29,34,8,5.34e+21,2.72e+19,-15.656,-35.201,2.7154,-1.01e+22,4.36e+19,-18.131,-23.034,2.469,11.9,-1,728000.0,1992.3,84.14273587185052,-16.8935,-29.1175,3.54e+19,1.544e+22,True,-12.002009204606663,167.99799079539335,False,False,False,True,False,False,False,False,False,True,False,False,False,True
844,1992,4,24,14,30,28,9,9.75e+21,1.93e+19,-5.4193,-71.42399999999999,1.5299,-1.49e+22,2.8e+19,-5.9931,-75.181,2.3875,3.7821,1,728000.0,1992.3,68.7749954561976,-5.7062,-73.3025,2.365e+19,2.465e+22,True,8.726160053032995,8.726160053032995,False,False,True,False,False,False,False,False,False,True,False,False,True,False
845,1992,4,25,15,40,28,10,5.92e+21,9.7e+18,8.742,-89.791,1.1173,-3.85e+21,8.06e+18,8.0837,-87.428,0.97821,2.4277,-1,728000.0,1992.3,42.14261501141096,8.41285,-88.6095,8.88e+18,9.77e+21,True,-15.72811512598946,164.27188487401057,True,False,False,False,False,False,False,False,True,False,False,False,True,False
845,1992,4,25,15,40,28,11,2.94e+21,1.17e+19,16.613,-69.949,1.1769,-1.94e+21,8.48e+18,12.901,-68.39,1.2317,4.0057,-1,728000.0,1992.3,44.92215489043241,14.757,-69.1695,1.009e+19,4.88e+21,True,-67.89616782947475,112.10383217052524,True,False,False,False,False,False,False,False,True,False,False,False,True,False
