ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_23n,AH_23n,HH_23s,AH_23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle23n,Cycle23s,Cycle24n,Cycle24s,Hale,AntiHale
1225,1996,5,10,1,4,5.074,0,1.29e+22,4.45e+19,-5.8556,-101.65,3.366,-1.03e+22,4.48e+19,-6.5878,-113.36,4.586,11.666,1,729000.0,1996.4,94.4986772394196,-6.2217,-107.505,4.465e+19,2.32e+22,True,3.599061657029344,3.599061657029344,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1273,1996,6,27,3,16,5.513,2,2.38e+21,1.32e+19,10.692,-8.1066,1.7205,-2.03e+21,8.01e+18,13.528,-2.5679,1.1708,6.1124,-1,729000.0,1996.5,46.05431575867782,12.11,-5.33725,1.0605e+19,4.41e+21,True,27.640480543807133,-152.35951945619288,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1276,1996,6,30,1,40,5.457999999999999,3,2.15e+21,8.91e+18,21.855,-63.931,1.1399,-1.99e+21,1.33e+19,25.346,-69.906,1.4788,6.4913,1,729000.0,1996.5,47.12748667179272,23.6005,-66.91850000000001,1.1105e+19,4.14e+21,True,-32.521456925292945,-32.521456925292945,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1286,1996,7,10,1,40,5.259,4,2.57e+21,1.2e+19,-12.117,-118.49,1.4314,-1.48e+21,8.74e+18,-8.5307,-124.21,1.4007,6.6748,1,729000.0,1996.5,45.5411901469428,-10.32385,-121.35,1.037e+19,4.05e+21,True,-32.50907533148821,-32.50907533148821,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1286,1996,7,10,1,40,5.259,6,1.68e+22,3.29e+19,-10.948,-109.13,2.3061,-9.96e+21,2.33e+19,-10.639,-115.37,1.8706,6.1434,1,729000.0,1996.5,74.96665925596525,-10.793500000000002,-112.25,2.81e+19,2.676e+22,True,-2.885899056219854,-2.885899056219854,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1310,1996,8,3,3,15,4.62,7,8.76e+21,2.95e+19,-7.8338,-103.32,1.9713,-1.45e+22,6.33e+19,-11.762,-109.31,3.1095,7.091,1,729000.0,1996.6,96.33275663033837,-9.7979,-106.315,4.64e+19,2.326e+22,True,33.64376043180573,33.64376043180573,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1312,1996,8,5,3,15,4.581,8,1.1e+22,1.95e+19,-10.093,-97.597,1.5902,-2.54e+21,1.25e+19,-8.9667,-97.958,2.4659,1.1433,1,729000.0,1996.6,56.56854249492381,-9.52985,-97.7775,1.6e+19,1.354e+22,True,-72.45850513826555,-72.45850513826555,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1319,1996,8,12,3,15,4.465,9,5.92e+21,1.9e+19,10.724,164.88,1.5499,-6.15e+21,1.56e+19,9.7844,168.65,1.4414,3.8324,-1,729000.0,1996.6,58.821764679410975,10.2542,166.765,1.73e+19,1.207e+22,True,-14.212776532517951,165.78722346748205,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1323,1996,8,16,1,36,4.404,10,1.35e+21,5.76e+18,28.39,73.587,1.1724,-1.91e+21,8.41e+18,29.355,69.128,1.1322,4.0213,1,729000.0,1996.6,37.64306044943742,28.8725,71.3575,7.085e+18,3.26e+21,False,-13.8817055627453,-13.8817055627453,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1334,1996,8,27,1,36,4.262,11,1.28e+22,5.63e+19,-10.858,-100.48,4.0187,-1.96e+22,7.97e+19,-10.751,-110.84,3.5032,10.171,1,729000.0,1996.7,116.61903789690602,-10.8045,-105.66,6.8e+19,3.24e+22,True,-0.6024189871383653,-0.6024189871383653,False,False,False,False,False,False,False,False,False,False,False,False,False,False
