ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s,Hale,AntiHale
480,2010,4,26,21,46,21.6,1,5.5e+20,2.17e+18,16.768,-45.28,0.60221,-2.18e+21,9.5e+18,18.022,-35.144,1.4386,9.7523,-1,734000.0,2010.3,34.161381705077446,17.395000000000003,-40.212,5.835e+18,2.73e+21,False,7.387002114583258,-172.61299788541675,True,False,False,False,True,False,True,False
486,2010,5,2,21,46,22.4,2,5.72e+21,2.4e+19,23.717,172.65,2.0377,-2.61e+21,1.08e+19,23.551,177.03,1.4408,4.0145,-1,734000.0,2010.3,58.9915248150105,23.634,174.84,1.74e+19,8.33e+21,True,-2.3689413357773934,177.63105866422262,True,False,False,False,True,False,True,False
487,2010,5,3,21,46,22.5,3,4.35e+20,1.02e+18,-26.456,-151.02,0.33435,-8.02e+20,2.92e+18,-26.468000000000004,-154.32,0.83701,2.9474,1,734000.0,2010.3,19.849433241279208,-26.462000000000003,-152.67000000000002,1.97e+18,1.237e+21,False,0.23273027191383,0.23273027191383,False,False,True,False,False,True,True,False
488,2010,5,4,21,46,22.6,4,1.51e+21,5.32e+18,17.785,-95.683,0.8025100000000001,-1e+21,5.21e+18,17.397000000000002,-93.79,0.7532,1.8456,-1,734000.0,2010.3,32.449961479175904,17.591,-94.7365,5.265e+18,2.51e+21,False,-12.134998172933011,167.865001827067,True,False,False,False,True,False,True,False
488,2010,5,4,21,46,22.6,5,3.05e+21,1.57e+19,-19.447,137.71,1.8529,-4.57e+21,1.82e+19,-19.593,132.39,1.4876,5.0134,1,734000.0,2010.3,58.22370651203855,-19.52,135.05,1.695e+19,7.62e+21,True,1.6678167453783963,1.6678167453783963,False,False,True,False,False,True,True,False
490,2010,5,6,21,46,22.9,6,4.24e+21,1.41e+19,41.024,-137.89,2.2513,-2.66e+21,9.04e+18,40.489,-129.8,1.1803,6.148,-1,734000.0,2010.3,48.10405388322277,40.7565,-133.845,1.157e+19,6.9e+21,True,-4.989427557083241,175.01057244291678,True,False,False,False,True,False,True,False
507,2010,5,23,21,46,24.7,7,3.42e+21,7.87e+18,-14.8,-40.872,1.0133,-3.05e+21,1.13e+19,-15.627,-44.903,1.2943,3.9761,1,734000.0,2010.4,43.78355855797927,-15.2135,-42.8875,9.585e+18,6.47e+21,True,12.002985823304574,12.002985823304574,False,False,True,False,False,True,True,False
512,2010,5,28,21,46,25.1,8,2.15e+21,8.79e+18,11.483,-167.32,1.0169,-1.26e+21,4.9e+18,12.368,-164.15,0.7992600000000001,3.2229,-1,734000.0,2010.4,37.0,11.9255,-165.735,6.845e+18,3.41e+21,True,15.925473817199745,-164.07452618280024,True,False,False,False,True,False,True,False
518,2010,6,3,21,46,25.6,9,4.67e+21,1.41e+19,-19.509,-160.5,1.3781,-3.86e+21,8.7e+18,-19.587,-164.92,1.031,4.1678,1,734000.0,2010.4,47.74934554525328,-19.548,-162.70999999999998,1.14e+19,8.53e+21,True,1.072819521829061,1.072819521829061,False,False,True,False,False,True,True,False
524,2010,6,9,21,46,26.0,11,5.62e+21,1.07e+19,-21.089,140.11,1.1842,-9.33e+21,2.86e+19,-20.781,144.32,2.1661,3.94,-1,734000.0,2010.4,62.68971207462992,-20.935,142.215,1.965e+19,1.4949999999999998e+22,True,4.478832746597925,-175.52116725340207,False,False,False,True,False,True,False,True
526,2010,6,11,21,46,26.1,12,3.71e+21,1.26e+19,-22.904,111.54,1.3365,-2.56e+21,7.87e+18,-23.79,108.02,1.2188,3.3445,1,734000.0,2010.4,45.24378410345447,-23.347,109.78,1.0235e+19,6.27e+21,True,15.331051605352467,15.331051605352467,False,False,True,False,False,True,True,False
527,2010,6,12,21,46,26.2,14,2.32e+21,8.86e+18,24.547,97.087,1.2184,-6.11e+21,1.85e+19,22.514,103.9,1.7048,6.5644,-1,734000.0,2010.4,52.30678732248808,23.5305,100.4935,1.368e+19,8.43e+21,True,-18.028158789961594,161.9718412100384,True,False,False,False,True,False,True,False
532,2010,6,17,21,46,26.4,15,2.37e+21,8.55e+18,30.304,-58.816,1.0752,-1.88e+21,7.25e+18,27.28,-54.941,1.0748,4.5468,-1,734000.0,2010.5,39.74921382870358,28.792,-56.8785,7.9e+18,4.25e+21,True,-41.68419303515012,138.3158069648499,True,False,False,False,True,False,True,False
533,2010,6,18,21,46,26.5,16,5.12e+20,1.21e+18,20.227,-27.499,0.3862,-8.62e+20,3.31e+18,20.264,-25.192,0.87282,2.1646,-1,734000.0,2010.5,21.2602916254693,20.2455,-26.3455,2.26e+18,1.374e+21,False,0.9793331715641422,-179.02066682843585,True,False,False,False,True,False,True,False
535,2010,6,20,21,46,26.5,18,8.54e+20,1.95e+18,27.156,-54.121,0.51551,-1.09e+21,4.43e+18,27.567,-56.269,0.76318,1.9513,1,734000.0,2010.5,25.25866188063018,27.3615,-55.195,3.19e+18,1.944e+21,False,-12.15817513013304,-12.15817513013304,False,True,False,False,True,False,False,True
538,2010,6,23,21,46,26.6,20,1.01e+21,3.27e+18,27.355,-54.757,0.71804,-1.24e+21,5.03e+18,24.948,-50.256,0.8563,4.7022,-1,734000.0,2010.5,28.809720581775867,26.1515,-52.5065,4.15e+18,2.25e+21,False,-30.78465037099597,149.21534962900404,True,False,False,False,True,False,True,False
540,2010,6,25,21,46,26.6,21,6.52e+20,2.7e+18,-21.886,-158.01,0.6818,-3.36e+20,1.07e+18,-22.231,-159.9,0.40897,1.7795,1,734000.0,2010.5,19.4164878389476,-22.0585,-158.95499999999998,1.885e+18,9.88e+20,False,11.142175223378915,11.142175223378915,False,False,True,False,False,True,True,False
542,2010,6,27,21,46,26.7,22,2.28e+21,8.88e+18,-19.563,145.58,1.1516,-4.02e+21,5.5e+18,-19.419,146.9,0.79683,1.2526,-1,734000.0,2010.5,37.92097045171708,-19.491,146.24,7.19e+18,6.3e+21,True,6.601049684588931,-173.39895031541107,False,False,False,True,False,True,False,True
550,2010,7,5,21,46,26.8,23,1.22e+21,3.74e+18,18.025,150.45,0.68132,-1.67e+21,6.72e+18,18.007,152.67,0.8869600000000001,2.1121,-1,734000.0,2010.5,32.34192325759246,18.016,151.56,5.23e+18,2.89e+21,False,-0.4885001916650014,179.511499808335,True,False,False,False,True,False,True,False
551,2010,7,6,21,46,26.8,25,1.86e+21,6.46e+18,-19.318,145.55,0.88146,-4.67e+21,7.31e+18,-18.978,144.2,0.90975,1.3195,1,734000.0,2010.5,37.10795063055895,-19.148,144.875,6.885e+18,6.53e+21,True,-14.927944038762355,-14.927944038762355,False,False,True,False,False,True,True,False
